lfi_iteration,avg domain param,std domain param,avg log prob,num total samples
0,"[0.8628909587860107, 35.14993667602539, 0.37475505471229553]","[0.16112752258777618, 5.5798540115356445, 0.06366217881441116]",0.2571805715560913,40000
1,"[0.913489580154419, 37.59529113769531, 0.3258350193500519]","[0.11504625529050827, 4.745546340942383, 0.04785764589905739]",2.641920804977417,160000
2,"[0.891938328742981, 36.81999588012695, 0.3416490852832794]","[0.12354055792093277, 5.066444396972656, 0.049509499222040176]",3.202998161315918,280000
3,"[0.9118282794952393, 37.73091506958008, 0.32534587383270264]","[0.11352373659610748, 4.693999767303467, 0.04734865576028824]",3.3183603286743164,400000
4,"[0.8859896063804626, 36.598514556884766, 0.3313976526260376]","[0.12154499441385269, 5.020534038543701, 0.04690715670585632]",4.333992004394531,520000
5,"[0.8978933691978455, 37.0764045715332, 0.3325037658214569]","[0.12215632200241089, 5.135132789611816, 0.04828356206417084]",3.5278773307800293,640000
6,"[0.8713498711585999, 35.92790603637695, 0.33085668087005615]","[0.13121068477630615, 5.381906509399414, 0.04788026586174965]",4.747213363647461,760000
7,"[0.9047238230705261, 37.245277404785156, 0.3238108456134796]","[0.12890180945396423, 5.278170585632324, 0.047673046588897705]",4.359330177307129,880000
8,"[0.900398850440979, 37.157012939453125, 0.3242030143737793]","[0.1227961927652359, 5.082491397857666, 0.04689491540193558]",4.581394672393799,1000000
9,"[0.886724054813385, 36.58230972290039, 0.3273480534553528]","[0.1254989504814148, 5.1629462242126465, 0.04664045572280884]",4.622790336608887,1120000
