iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var,loss improvement V-fcnovement,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy,avg grad norm V-fcn,avg lr
0,0.2802,0.1356,0.1463,0.0891,0.0603,800.0,29600,-25533.7734375,0.9556999802589417,1.5910999774932861,0.0015999999595806003,0.9068999886512756,1.3212000131607056,0.0752,0.0721,0.000873
1,0.3795,0.2467,0.2514,0.1571,0.0674,800.0,59200,-3440.565673828125,1.229599952697754,1.0396000146865845,0.0008999999845400453,0.9042999744415283,1.3184000253677368,0.0834,0.0554,0.000869
2,0.9918,0.1617,0.2596,0.1223,0.2591,800.0,88800,-79.50679779052734,0.6273999810218811,0.3643999993801117,0.0017000000225380063,0.9190999865531921,1.3345999717712402,0.0847,0.0353,0.000864
3,5.046,0.5039,1.0075,0.1854,1.4203,800.0,118400,-0.2354000061750412,0.09960000216960907,0.06599999964237213,0.0017000000225380063,0.8935999870300293,1.30649995803833,0.1012,0.057,0.00086
4,5.6481,0.2973,1.6368,0.152,2.0481,800.0,148000,0.7325000166893005,0.04259999841451645,0.01860000006854534,0.002199999988079071,0.9059000015258789,1.320099949836731,0.1152,0.0454,0.000856
5,33.4446,5.7555,8.7568,0.1631,8.6669,800.0,177600,0.2524999976158142,0.07370000332593918,1.2668999433517456,0.000699999975040555,0.9017999768257141,1.315600037574768,0.1163,0.2623,0.000852
6,94.6511,25.5505,40.8695,6.5706,32.5859,794.3947,207787,-0.0071000000461936,1.3494999408721924,27.084199905395508,0.0006000000284984708,0.8883000016212463,1.3004000186920166,0.1066,0.2526,0.000847
7,99.2673,59.1156,50.1532,6.3611,22.1578,775.8947,237271,-0.09369999915361404,1.3589999675750732,24.81570053100586,0.0007999999797903001,0.8708999752998352,1.2806999683380127,0.1398,0.2724,0.000843
8,120.0969,47.2479,46.7764,0.2097,27.9084,784.6053,267086,-0.03009999915957451,0.7526999711990356,22.681800842285156,0.0008999999845400453,0.8513000011444092,1.2578999996185303,0.1436,0.3708,0.000839
9,101.3306,37.4293,40.845,0.1858,29.0646,792.6842,297208,0.04670000076293945,0.6822999715805054,23.62969970703125,0.0006000000284984708,0.8377000093460083,1.2417999505996704,0.1143,0.4225,0.000835
10,114.2897,34.2886,41.0031,2.3336,28.5,788.4474,327169,0.05909999832510948,0.7149999737739563,23.284400939941406,0.0008999999845400453,0.8403000235557556,1.2448999881744385,0.1235,0.4287,0.000831
11,103.4442,50.1843,48.624,6.2715,22.5816,767.4615,357100,-0.0006000000284984708,0.7519000172615051,23.045900344848633,0.000699999975040555,0.8281000256538391,1.230299949645996,0.1485,0.4577,0.000826
12,121.1521,53.9925,49.6788,0.4068,29.4289,749.5385,386332,0.02370000071823597,0.9961000084877014,29.48349952697754,0.0005000000237487257,0.8144999742507935,1.2137000560760498,0.1486,0.4826,0.000822
13,149.4697,53.9866,56.1533,9.7737,29.8571,731.175,415579,-0.008899999782443047,1.1100000143051147,37.02159881591797,0.000699999975040555,0.8220999836921692,1.2230000495910645,0.1448,0.473,0.000818
14,181.9598,60.0108,63.3488,11.269,29.6404,709.3171,444661,-0.04390000179409981,1.8633999824523926,44.50490188598633,0.0006000000284984708,0.8216999769210815,1.222599983215332,0.1584,0.433,0.000814
15,98.6885,57.5282,57.222,2.5962,21.2959,711.4146,473829,0.01720000058412552,1.886299967765808,32.302398681640625,0.0006000000284984708,0.8140000104904175,1.2131999731063843,0.1619,0.4578,0.00081
16,109.1987,56.1601,52.9946,4.2861,19.3745,696.6744,503786,0.07169999927282333,1.7400000095367432,28.36829948425293,0.0006000000284984708,0.8027999997138977,1.1993000507354736,0.1632,0.4651,0.000806
17,98.6848,49.6512,49.2893,0.757,20.4104,694.5714,532958,0.12409999966621399,1.1110999584197998,24.78260040283203,0.0005000000237487257,0.7943999767303467,1.1886999607086182,0.1676,0.4845,0.000802
18,104.1482,52.5594,50.5892,1.9121,20.6835,653.5,561712,0.11309999972581863,1.3309999704360962,29.9783992767334,0.0006000000284984708,0.7825999855995178,1.173799991607666,0.1752,0.5877,0.000798
19,91.4427,48.096,53.2314,30.7094,14.1292,640.3696,591169,0.10199999809265137,1.6074999570846558,28.031099319458008,0.0005000000237487257,0.772599995136261,1.1608999967575073,0.1801,0.5337,0.000794
20,107.3141,48.6119,48.9431,10.9508,14.9376,655.4318,620008,0.19130000472068787,1.9013999700546265,22.175399780273438,0.0006000000284984708,0.7699000239372253,1.1574000120162964,0.2122,0.5732,0.00079
21,108.1657,47.9221,53.4931,28.7754,17.5206,638.1556,648725,0.16850000619888306,1.4427000284194946,25.126300811767578,0.0007999999797903001,0.7716000080108643,1.1597000360488892,0.1969,0.7263,0.000786
22,128.0785,50.6714,57.0296,10.1288,22.6706,582.7755,677281,0.13009999692440033,2.6229000091552734,33.68669891357422,0.00039999998989515007,0.7710000276565552,1.1589000225067139,0.1957,0.8003,0.000782
23,158.1953,49.0141,58.3282,35.9797,25.5233,574.02,705982,0.14100000262260437,2.5553998947143555,34.564300537109375,0.0008999999845400453,0.7631000280380249,1.1485999822616577,0.187,0.854,0.000778
24,124.8435,48.627,54.1668,27.6559,21.2761,563.66,734165,0.21529999375343323,2.0144999027252197,23.622800827026367,0.00039999998989515007,0.7559999823570251,1.139299988746643,0.2224,1.1109,0.000774
25,135.5056,49.9722,55.333,35.4391,19.7124,540.1321,762792,0.21089999377727509,2.023699998855591,24.607200622558594,0.0007999999797903001,0.7631999850273132,1.1486999988555908,0.2322,1.168,0.000771
26,200.0318,49.7991,58.4964,31.2846,27.9101,535.566,791177,0.20260000228881836,2.500200033187866,31.588300704956055,0.0006000000284984708,0.7590000033378601,1.1432000398635864,0.2211,1.2398,0.000767
27,108.2444,50.948,56.134,29.4468,18.4672,521.5273,819861,0.2565999925136566,2.121500015258789,25.531600952148438,0.0007999999797903001,0.7502999901771545,1.131700038909912,0.249,1.3598,0.000763
28,153.2377,59.7318,69.3378,31.6792,30.2808,504.5455,847611,0.1251000016927719,3.161900043487549,41.312599182128906,0.000699999975040555,0.7394999861717224,1.1172000169754028,0.2355,1.546,0.000759
29,229.9581,60.6627,78.0116,33.0653,46.6259,511.7593,875246,0.07769999653100967,3.4932000637054443,54.844600677490234,0.0006000000284984708,0.7360000014305115,1.1124000549316406,0.2433,1.5488,0.000755
